location,safety_rating,neighborhood,housing_type,bedrooms,bathrooms,beds,rental_type,cost_per_night,amenities,reviews,id
Boston,3.51,Beacon Hill,Apartment,3,1,4,Private room,155,"Self check-in, Heating, Patio, WiFi, TV, Pool, Free parking, Dedicated workspace, Hot tub, Dryer",Host provided great local tips.; Comfortable beds,H1
Boston,4.79,Downtown,Townhouse,2,1,2,Private room,135,"Kitchen, Air conditioning, TV, Self check-in",Would definitely stay again; Perfect for a weekend getaway; Close to public transport,H2
Boston,4.04,East Boston,Apartment,2,1,3,Private room,125,"Pool, Air conditioning, Patio, Dedicated workspace, Hot tub",Clean and tidy; Close to public transport; Amazing view,H3
Boston,4.45,Beacon Hill,Apartment,5,4,6,Private room,240,"Dryer, WiFi, Gym, TV, Hot tub",Amazing view; Perfect for a weekend getaway; Close to public transport,H4
Boston,4.6,South End,Apartment,1,1,1,Entire place,165,"Dedicated workspace, Washer, Pool, Pets allowed, Free parking, Kitchen, Self check-in, WiFi",Would definitely stay again; Clean and tidy; Great value for the price.,H5
Boston,3.84,Charlestown,Townhouse,5,3,7,Shared room,165,"Gym, WiFi, Air conditioning, Dedicated workspace, Heating, Free parking",Comfortable beds; Amazing view; Clean and tidy,H6
Boston,3.93,West Roxbury,Townhouse,2,1,4,Private room,115,"Dryer, Kitchen, Heating, WiFi, Self check-in, Air conditioning",Great value for the price.; Perfect for a weekend getaway; Would definitely stay again; Felt like a home away from home,H7
Boston,4.82,Dorchester,House,3,2,6,Private room,185,"Heating, Self check-in, Washer, Air conditioning, Kitchen, Gym, Pool, TV, Free parking",Easy check-in process.; Stylish and modern apartment.; Close to public transport,H8
Boston,4.97,Fenway-Kenmore,Apartment,5,1,5,Entire place,355,"Heating, Patio, TV, Pets allowed, Free parking, WiFi, Washer, Air conditioning, Gym, Pool",Clean and tidy; Spacious and central,H9
Boston,4.99,Allston,Townhouse,2,1,2,Shared room,80,"Free parking, Washer, Dedicated workspace, Patio, Dryer, Heating, Hot tub, Gym, Pets allowed, Pool",Easy check-in process.; The place was sparkling clean.,H10
